#The solar chemical composition K.Lodders 2009:
C	10.4434
H   12.00          
He  10.9864
N	9.9130
O	10.7826
P	7.5058
S	9.1200
Si	9.5867
Ti	6.9794
V	6.0437
Cl	7.3002
K	7.1619
Na	8.3479
Mg	9.5995
F	6.4920
Ca	8.3677
Fe	9.5151
e-  0
