#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
23        	5         	ok              	9.6370000000e-02	3.0790000000e+02	4.7428552149e+18	2.2669839586e+18	5.6555464628e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	5         	ok              	8.7050000000e-02	3.0600000000e+02	4.3107720038e+18	2.0604573336e+18	5.6555465623e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	5         	ok              	7.8630000000e-02	3.0410000000e+02	3.9181365612e+18	1.8727859065e+18	5.6555466719e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	5         	ok              	7.1020000000e-02	3.0230000000e+02	3.5600019734e+18	1.7016051751e+18	5.6555467344e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	5         	ok              	6.4150000000e-02	3.0050000000e+02	3.2348929089e+18	1.5462099416e+18	5.6555468076e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	5         	ok              	5.7950000000e-02	2.9870000000e+02	2.9398552511e+18	1.4051882015e+18	5.6555468916e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	5         	ok              	5.2350000000e-02	2.9690000000e+02	2.6718632444e+18	1.2770937084e+18	5.6555469853e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	5         	ok              	4.7280000000e-02	2.9520000000e+02	2.4269948536e+18	1.1600518250e+18	5.6555470309e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	5         	ok              	4.2710000000e-02	2.9340000000e+02	2.2058562705e+18	1.0543522735e+18	5.6555471426e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	5         	ok              	3.8580000000e-02	2.9190000000e+02	2.0027921209e+18	9.5729194642e+17	5.6555470983e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	5         	ok              	3.4850000000e-02	2.9060000000e+02	1.8172509590e+18	8.6860724889e+17	5.6555469470e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	5         	ok              	3.1480000000e-02	2.9000000000e+02	1.6449186117e+18	7.8623614014e+17	5.6555463543e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	5         	ok              	2.8430000000e-02	2.9000000000e+02	1.4855472269e+18	7.1006014816e+17	5.6555452143e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	5         	ok              	2.5680000000e-02	2.9000000000e+02	1.3418516840e+18	6.4137687671e+17	5.6555438192e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	5         	ok              	2.3200000000e-02	2.9000000000e+02	1.2122643955e+18	5.7943705372e+17	5.6555421127e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	5         	ok              	2.0950000000e-02	2.9000000000e+02	1.0946952436e+18	5.2324164981e+17	5.6555400118e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	5         	ok              	1.8930000000e-02	2.9000000000e+02	9.8914422842e+17	4.7279066496e+17	5.6555374530e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	5         	ok              	1.7100000000e-02	2.9000000000e+02	8.9352123116e+17	4.2708506977e+17	5.6555343099e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	5         	ok              	1.5440000000e-02	2.9000000000e+02	8.0678119118e+17	3.8562534955e+17	5.6555304401e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	5         	ok              	1.3950000000e-02	2.9000000000e+02	7.2892410868e+17	3.4841150429e+17	5.6555257271e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	5         	ok              	1.2600000000e-02	2.9000000000e+02	6.5838239176e+17	3.1469426194e+17	5.6555199362e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	5         	ok              	1.1380000000e-02	2.9000000000e+02	5.9463350888e+17	2.8422386515e+17	5.6555128360e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	5         	ok              	1.0280000000e-02	2.9000000000e+02	5.3715492844e+17	2.5675055656e+17	5.6555041525e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	5         	ok              	9.2870000000e-03	2.9000000000e+02	4.8526735858e+17	2.3194965164e+17	5.6554935250e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
