# WL(nm)	 Flux(ergs/cm**2/s/nm)
25.300000	 1.28E+03
25.400000	 1.28E+03
25.500000	 1.28E+03
25.600000	 1.28E+03
25.700000	 1.28E+03
25.800000	 1.28E+03
25.900000	 1.28E+03
26.000000	 1.28E+03
26.100000	 1.28E+03
26.200000	 1.28E+03
26.300000	 1.28E+03
26.400000	 1.28E+03
26.500000	 1.28E+03
26.600000	 1.28E+03
26.700000	 1.28E+03
26.800000	 1.28E+03
26.900000	 1.28E+03
27.000000	 1.28E+03
27.100000	 1.28E+03
27.200000	 1.28E+03
27.300000	 1.28E+03
27.400000	 1.28E+03
27.500000	 1.28E+03
27.600000	 1.28E+03
27.700000	 1.28E+03
27.800000	 1.28E+03
27.900000	 1.28E+03
28.000000	 1.28E+03
28.100000	 1.28E+03
28.200000	 1.28E+03
28.300000	 1.28E+03
28.400000	 1.28E+03
28.500000	 1.28E+03
28.600000	 1.28E+03
28.700000	 1.28E+03
28.800000	 1.28E+03
28.900000	 1.28E+03
29.000000	 1.28E+03
29.100000	 1.28E+03
29.200000	 1.28E+03
29.300000	 1.28E+03
29.400000	 1.28E+03
29.500000	 1.28E+03
29.600000	 1.28E+03
29.700000	 1.28E+03
29.800000	 1.28E+03
29.900000	 1.28E+03
30.000000	 1.20E+03
30.100000	 1.13E+03
30.200000	 1.13E+03
30.300000	 1.13E+03
30.400000	 1.13E+03
30.500000	 1.13E+03
30.600000	 1.13E+03
30.700000	 1.13E+03
30.800000	 1.13E+03
30.900000	 1.13E+03
31.000000	 1.13E+03
31.100000	 1.13E+03
31.200000	 1.13E+03
31.300000	 1.13E+03
31.400000	 1.13E+03
31.500000	 1.13E+03
31.600000	 1.13E+03
31.700000	 1.13E+03
31.800000	 1.13E+03
31.900000	 1.13E+03
32.000000	 1.13E+03
32.100000	 1.13E+03
32.200000	 1.13E+03
32.300000	 1.13E+03
32.400000	 1.13E+03
32.500000	 1.13E+03
32.600000	 1.13E+03
32.700000	 1.13E+03
32.800000	 1.13E+03
32.900000	 1.13E+03
33.000000	 1.13E+03
33.100000	 1.13E+03
33.200000	 1.13E+03
33.300000	 1.13E+03
33.400000	 1.13E+03
33.500000	 1.13E+03
33.600000	 1.13E+03
33.700000	 1.13E+03
33.800000	 1.13E+03
33.900000	 1.13E+03
34.000000	 1.13E+03
34.100000	 1.13E+03
34.200000	 1.13E+03
34.300000	 1.13E+03
34.400000	 1.13E+03
34.500000	 1.13E+03
34.600000	 1.13E+03
34.700000	 1.13E+03
34.800000	 1.13E+03
34.900000	 1.13E+03
35.000000	 1.13E+03
35.100000	 1.13E+03
35.200000	 1.13E+03
35.300000	 1.13E+03
35.400000	 1.13E+03
35.500000	 1.13E+03
35.600000	 1.13E+03
35.700000	 1.13E+03
35.800000	 1.13E+03
35.900000	 1.13E+03
36.000000	 1.13E+03
36.100000	 1.13E+03
36.200000	 1.13E+03
36.300000	 1.13E+03
36.400000	 1.13E+03
36.500000	 1.13E+03
36.600000	 1.13E+03
36.700000	 1.13E+03
36.800000	 1.13E+03
36.900000	 1.13E+03
37.000000	 1.13E+03
37.100000	 1.13E+03
37.200000	 1.13E+03
37.300000	 1.13E+03
37.400000	 1.13E+03
37.500000	 1.13E+03
37.600000	 1.13E+03
37.700000	 1.13E+03
37.800000	 1.13E+03
37.900000	 1.13E+03
38.000000	 1.13E+03
38.100000	 1.13E+03
38.200000	 1.13E+03
38.300000	 1.13E+03
38.400000	 1.13E+03
38.500000	 1.13E+03
38.600000	 1.13E+03
38.700000	 1.13E+03
38.800000	 1.13E+03
38.900000	 1.13E+03
39.000000	 1.13E+03
39.100000	 1.13E+03
39.200000	 1.13E+03
39.300000	 1.13E+03
39.400000	 1.13E+03
39.500000	 1.13E+03
39.600000	 1.13E+03
39.700000	 1.13E+03
39.800000	 1.13E+03
39.900000	 1.13E+03
40.000000	 5.77E+02
40.100000	 2.49E+01
40.200000	 2.49E+01
40.300000	 2.49E+01
40.400000	 2.49E+01
40.500000	 2.49E+01
40.600000	 2.49E+01
40.700000	 2.49E+01
40.800000	 2.49E+01
40.900000	 2.49E+01
41.000000	 2.49E+01
41.100000	 2.49E+01
41.200000	 2.49E+01
41.300000	 2.49E+01
41.400000	 2.49E+01
41.500000	 2.49E+01
41.600000	 2.49E+01
41.700000	 2.49E+01
41.800000	 2.49E+01
41.900000	 2.49E+01
42.000000	 2.49E+01
42.100000	 2.49E+01
42.200000	 2.49E+01
42.300000	 2.49E+01
42.400000	 2.49E+01
42.500000	 2.49E+01
42.600000	 2.49E+01
42.700000	 2.49E+01
