# WL(nm)	 Flux(ergs/cm**2/s/nm)
24.949944	 6.01E+03
25.049944	 6.01E+03
25.149944	 6.01E+03
25.249944	 6.01E+03
25.349944	 6.01E+03
25.449944	 6.01E+03
25.549944	 6.01E+03
25.649944	 6.01E+03
25.749944	 6.01E+03
25.849944	 6.01E+03
25.949944	 6.01E+03
26.049944	 6.01E+03
26.149944	 6.01E+03
26.249944	 6.01E+03
26.349944	 6.01E+03
26.449944	 6.01E+03
26.549944	 6.01E+03
26.649944	 6.01E+03
26.749944	 6.01E+03
26.849944	 6.01E+03
26.949944	 6.01E+03
27.049944	 6.01E+03
27.149944	 6.01E+03
27.249944	 6.01E+03
27.349944	 6.01E+03
27.449944	 6.01E+03
27.549944	 6.01E+03
27.649944	 6.01E+03
27.749944	 6.01E+03
27.849944	 6.01E+03
27.949944	 6.01E+03
28.049944	 6.01E+03
28.149944	 6.01E+03
28.249944	 6.01E+03
28.349944	 6.01E+03
28.449944	 6.01E+03
28.549944	 6.01E+03
28.649944	 6.01E+03
28.749944	 6.01E+03
28.849944	 6.01E+03
28.949944	 6.01E+03
29.049944	 6.01E+03
29.149944	 6.01E+03
29.249944	 6.01E+03
29.349944	 6.01E+03
29.449944	 6.01E+03
29.549944	 6.01E+03
29.649944	 6.01E+03
29.749944	 6.01E+03
29.849944	 6.01E+03
29.949944	 6.01E+03
30.049944	 5.31E+03
30.149944	 5.31E+03
30.249944	 5.31E+03
30.349944	 5.31E+03
30.449944	 5.31E+03
30.549944	 5.31E+03
30.649944	 5.31E+03
30.749944	 5.31E+03
30.849944	 5.31E+03
30.949944	 5.31E+03
31.049944	 5.31E+03
31.149944	 5.31E+03
31.249944	 5.31E+03
31.349944	 5.31E+03
31.449944	 5.31E+03
31.549944	 5.31E+03
31.649944	 5.31E+03
31.749944	 5.31E+03
31.849944	 5.31E+03
31.949944	 5.31E+03
32.049944	 5.31E+03
32.149944	 5.31E+03
32.249944	 5.31E+03
32.349944	 5.31E+03
32.449944	 5.31E+03
32.549944	 5.31E+03
32.649944	 5.31E+03
32.749944	 5.31E+03
32.849944	 5.31E+03
32.949944	 5.31E+03
33.049944	 5.31E+03
33.149944	 5.31E+03
33.249944	 5.31E+03
33.349944	 5.31E+03
