# WL(nm)	 Flux(ergs/cm**2/s/nm)
0.549944	 7.89E+01
0.649944	 2.07E+02
0.749944	 3.09E+02
0.849944	 3.54E+02
0.949944	 3.54E+02
1.049944	 3.54E+02
1.149944	 5.49E+02
1.249944	 8.86E+02
1.349944	 8.79E+02
1.449944	 8.64E+02
1.549944	 8.64E+02
1.649944	 7.84E+02
1.749944	 7.82E+02
1.849944	 7.82E+02
1.949944	 5.17E+02
2.049944	 4.03E+02
2.149944	 4.03E+02
2.249944	 4.03E+02
2.349944	 4.03E+02
2.449944	 4.03E+02
2.549944	 4.03E+02
2.649944	 4.03E+02
2.749944	 4.03E+02
2.849944	 4.03E+02
2.949944	 2.12E+02
3.049944	 1.63E+02
3.149944	 1.23E+02
3.249944	 2.24E+02
3.349944	 3.42E+02
3.449944	 9.21E+01
3.549944	 8.83E+01
3.649944	 1.43E+02
3.749944	 1.06E+02
3.849944	 8.29E+01
3.949944	 8.31E+01
4.049944	 1.36E+02
4.149944	 8.09E+01
4.249944	 7.41E+01
4.349944	 8.68E+01
4.449944	 1.41E+02
4.549944	 9.81E+01
4.649944	 8.19E+01
4.749944	 6.52E+01
4.849944	 5.85E+01
4.949944	 6.70E+01
5.049944	 8.18E+01
5.149944	 4.95E+01
5.249944	 6.23E+01
5.349944	 4.87E+01
5.449944	 7.43E+01
5.549944	 4.58E+01
5.649944	 4.41E+01
5.749944	 7.07E+01
5.849944	 4.20E+01
5.949944	 4.52E+01
6.049944	 4.04E+01
6.149944	 3.73E+01
6.249944	 5.43E+01
6.349944	 1.01E+02
6.449944	 3.61E+01
6.549944	 6.04E+01
6.649944	 6.16E+01
6.749944	 3.97E+01
6.849944	 3.03E+01
6.949944	 3.89E+01
7.049944	 2.84E+01
7.149944	 2.70E+01
7.249944	 2.65E+01
7.349944	 3.37E+01
7.449944	 3.32E+01
7.549944	 3.24E+01
7.649944	 3.15E+01
7.749944	 2.55E+01
7.849944	 2.54E+01
7.949944	 2.23E+01
8.049944	 2.33E+01
8.149944	 2.30E+01
8.249944	 2.21E+01
8.349944	 2.22E+01
8.449944	 1.90E+01
8.549944	 1.89E+01
8.649944	 1.88E+01
8.749944	 2.85E+01
8.849944	 2.44E+01
8.949944	 1.86E+01
9.049944	 2.06E+01
9.149944	 2.23E+01
9.249944	 1.66E+01
9.349944	 4.29E+01
9.449944	 2.29E+01
9.549944	 1.64E+01
9.649944	 1.55E+01
9.749944	 1.84E+01
9.849944	 2.83E+01
9.949944	 1.48E+01
10.049944	 7.29E+02
10.149944	 7.29E+02
10.249944	 7.29E+02
10.349944	 7.29E+02
10.449944	 7.29E+02
10.549944	 7.29E+02
10.649944	 7.29E+02
10.749944	 7.29E+02
10.849944	 7.29E+02
10.949944	 7.29E+02
11.049944	 7.29E+02
11.149944	 7.29E+02
11.249944	 7.29E+02
11.349944	 7.29E+02
11.449944	 7.29E+02
11.549944	 7.29E+02
11.649944	 7.29E+02
11.749944	 7.29E+02
11.849944	 7.29E+02
11.949944	 7.29E+02
12.049944	 7.29E+02
12.149944	 7.29E+02
12.249944	 7.29E+02
12.349944	 7.29E+02
12.449944	 7.29E+02
12.549944	 7.29E+02
12.649944	 7.29E+02
12.749944	 7.29E+02
12.849944	 7.29E+02
12.949944	 7.29E+02
13.049944	 7.29E+02
13.149944	 7.29E+02
13.249944	 7.29E+02
13.349944	 7.29E+02
13.449944	 7.29E+02
13.549944	 7.29E+02
13.649944	 7.29E+02
13.749944	 7.29E+02
13.849944	 7.29E+02
13.949944	 7.29E+02
14.049944	 7.29E+02
14.149944	 7.29E+02
14.249944	 7.29E+02
14.349944	 7.29E+02
14.449944	 7.29E+02
14.549944	 7.29E+02
14.649944	 7.29E+02
14.749944	 7.29E+02
14.849944	 7.29E+02
14.949944	 7.29E+02
15.049944	 7.29E+02
15.149944	 7.29E+02
15.249944	 7.29E+02
15.349944	 7.29E+02
15.449944	 7.29E+02
15.549944	 7.29E+02
15.649944	 7.29E+02
15.749944	 7.29E+02
15.849944	 7.29E+02
15.949944	 7.29E+02
16.049944	 7.29E+02
16.149944	 7.29E+02
16.249944	 7.29E+02
16.349944	 7.29E+02
16.449944	 7.29E+02
16.549944	 7.29E+02
16.649944	 7.29E+02
16.749944	 7.29E+02
16.849944	 7.29E+02
16.949944	 7.29E+02
17.049944	 7.29E+02
17.149944	 7.29E+02
17.249944	 7.29E+02
17.349944	 7.29E+02
17.449944	 7.29E+02
17.549944	 7.29E+02
17.649944	 7.29E+02
17.749944	 7.29E+02
17.849944	 7.29E+02
17.949944	 7.29E+02
18.049944	 7.29E+02
18.149944	 7.29E+02
18.249944	 7.29E+02
18.349944	 7.29E+02
18.449944	 7.29E+02
18.549944	 7.29E+02
18.649944	 7.29E+02
18.749944	 7.29E+02
18.849944	 7.29E+02
18.949944	 7.29E+02
19.049944	 7.29E+02
19.149944	 7.29E+02
19.249944	 7.29E+02
19.349944	 7.29E+02
19.449944	 7.29E+02
19.549944	 7.29E+02
19.649944	 7.29E+02
19.749944	 7.29E+02
19.849944	 7.29E+02
19.949944	 7.29E+02
20.049944	 6.39E+02
20.149944	 6.39E+02
20.249944	 6.39E+02
20.349944	 6.39E+02
20.449944	 6.39E+02
20.549944	 6.39E+02
20.649944	 6.39E+02
20.749944	 6.39E+02
20.849944	 6.39E+02
20.949944	 6.39E+02
21.049944	 6.39E+02
21.149944	 6.39E+02
21.249944	 6.39E+02
21.349944	 6.39E+02
21.449944	 6.39E+02
21.549944	 6.39E+02
21.649944	 6.39E+02
21.749944	 6.39E+02
21.849944	 6.39E+02
21.949944	 6.39E+02
22.049944	 6.39E+02
22.149944	 6.39E+02
22.249944	 6.39E+02
22.349944	 6.39E+02
22.449944	 6.39E+02
22.549944	 6.39E+02
22.649944	 6.39E+02
22.749944	 6.39E+02
22.849944	 6.39E+02
22.949944	 6.39E+02
23.049944	 6.39E+02
23.149944	 6.39E+02
23.249944	 6.39E+02
23.349944	 6.39E+02
23.449944	 6.39E+02
23.549944	 6.39E+02
23.649944	 6.39E+02
23.749944	 6.39E+02
23.849944	 6.39E+02
23.949944	 6.39E+02
24.049944	 6.39E+02
24.149944	 6.39E+02
24.249944	 6.39E+02
24.349944	 6.39E+02
24.449944	 6.39E+02
24.549944	 6.39E+02
24.649944	 6.39E+02
24.749944	 6.39E+02
24.849944	 6.39E+02
24.949944	 6.39E+02
25.049944	 6.39E+02
25.149944	 6.39E+02
25.249944	 6.39E+02
25.349944	 6.39E+02
25.449944	 6.39E+02
25.549944	 6.39E+02
25.649944	 6.39E+02
25.749944	 6.39E+02
25.849944	 6.39E+02
25.949944	 6.39E+02
26.049944	 6.39E+02
26.149944	 6.39E+02
26.249944	 6.39E+02
26.349944	 6.39E+02
26.449944	 6.39E+02
26.549944	 6.39E+02
26.649944	 6.39E+02
26.749944	 6.39E+02
26.849944	 6.39E+02
26.949944	 6.39E+02
27.049944	 6.39E+02
27.149944	 6.39E+02
27.249944	 6.39E+02
27.349944	 6.39E+02
27.449944	 6.39E+02
27.549944	 6.39E+02
27.649944	 6.39E+02
27.749944	 6.39E+02
27.849944	 6.39E+02
27.949944	 6.39E+02
28.049944	 6.39E+02
28.149944	 6.39E+02
28.249944	 6.39E+02
28.349944	 6.39E+02
28.449944	 6.39E+02
28.549944	 6.39E+02
28.649944	 6.39E+02
28.749944	 6.39E+02
28.849944	 6.39E+02
28.949944	 6.39E+02
29.049944	 6.39E+02
29.149944	 6.39E+02
29.249944	 6.39E+02
29.349944	 6.39E+02
29.449944	 6.39E+02
29.549944	 6.39E+02
29.649944	 6.39E+02
29.749944	 6.39E+02
29.849944	 6.39E+02
29.949944	 6.39E+02
30.049944	 5.65E+02
30.149944	 5.65E+02
30.249944	 5.65E+02
30.349944	 5.65E+02
30.449944	 5.65E+02
30.549944	 5.65E+02
30.649944	 5.65E+02
30.749944	 5.65E+02
30.849944	 5.65E+02
30.949944	 5.65E+02
31.049944	 5.65E+02
31.149944	 5.65E+02
31.249944	 5.65E+02
31.349944	 5.65E+02
31.449944	 5.65E+02
31.549944	 5.65E+02
31.649944	 5.65E+02
31.749944	 5.65E+02
31.849944	 5.65E+02
31.949944	 5.65E+02
32.049944	 5.65E+02
32.149944	 5.65E+02
32.249944	 5.65E+02
32.349944	 5.65E+02
32.449944	 5.65E+02
32.549944	 5.65E+02
32.649944	 5.65E+02
32.749944	 5.65E+02
32.849944	 5.65E+02
32.949944	 5.65E+02
33.049944	 5.65E+02
33.149944	 5.65E+02
33.249944	 5.65E+02
33.349944	 5.65E+02
33.449944	 5.65E+02
33.549944	 5.65E+02
33.649944	 5.65E+02
33.749944	 5.65E+02
33.849944	 5.65E+02
33.949944	 5.65E+02
34.049944	 5.65E+02
34.149944	 5.65E+02
34.249944	 5.65E+02
34.349944	 5.65E+02
34.449944	 5.65E+02
34.549944	 5.65E+02
34.649944	 5.65E+02
34.749944	 5.65E+02
34.849944	 5.65E+02
34.949944	 5.65E+02
35.049944	 5.65E+02
35.149944	 5.65E+02
35.249944	 5.65E+02
35.349944	 5.65E+02
35.449944	 5.65E+02
35.549944	 5.65E+02
35.649944	 5.65E+02
35.749944	 5.65E+02
35.849944	 5.65E+02
35.949944	 5.65E+02
36.049944	 5.65E+02
36.149944	 5.65E+02
36.249944	 5.65E+02
36.349944	 5.65E+02
36.449944	 5.65E+02
36.549944	 5.65E+02
36.649944	 5.65E+02
36.749944	 5.65E+02
36.849944	 5.65E+02
36.949944	 5.65E+02
37.049944	 5.65E+02
37.149944	 5.65E+02
37.249944	 5.65E+02
37.349944	 5.65E+02
37.449944	 5.65E+02
37.549944	 5.65E+02
37.649944	 5.65E+02
37.749944	 5.65E+02
37.849944	 5.65E+02
37.949944	 5.65E+02
38.049944	 5.65E+02
38.149944	 5.65E+02
38.249944	 5.65E+02
38.349944	 5.65E+02
38.449944	 5.65E+02
38.549944	 5.65E+02
38.649944	 5.65E+02
38.749944	 5.65E+02
38.849944	 5.65E+02
38.949944	 5.65E+02
39.049944	 5.65E+02
39.149944	 5.65E+02
39.249944	 5.65E+02
39.349944	 5.65E+02
39.449944	 5.65E+02
39.549944	 5.65E+02
39.649944	 5.65E+02
39.749944	 5.65E+02
39.849944	 5.65E+02
39.949944	 5.65E+02
40.049944	 1.14E+01
40.149944	 1.10E+01
40.249944	 1.10E+01
40.349944	 1.10E+01
40.449944	 1.10E+01
40.549944	 1.10E+01
40.649944	 1.10E+01
40.749944	 1.10E+01
40.849944	 1.10E+01
40.949944	 1.10E+01
41.049944	 1.10E+01
41.149944	 1.10E+01
41.249944	 1.10E+01
41.349944	 1.10E+01
41.449944	 1.10E+01
41.549944	 1.10E+01
41.649944	 1.10E+01
41.749944	 1.10E+01
41.849944	 1.10E+01
41.949944	 1.10E+01
42.049944	 1.10E+01
42.149944	 1.10E+01
42.249944	 1.10E+01
42.349944	 1.10E+01
42.449944	 1.10E+01
42.549944	 1.10E+01
42.649944	 1.10E+01
42.749944	 1.10E+01
42.849944	 1.10E+01
42.949944	 1.10E+01
43.049944	 1.10E+01
43.149944	 1.10E+01
43.249944	 1.10E+01
43.349944	 1.10E+01
43.449944	 1.10E+01
43.549944	 1.10E+01
43.649944	 1.10E+01
43.749944	 1.10E+01
43.849944	 1.10E+01
43.949944	 1.10E+01
44.049944	 1.10E+01
44.149944	 1.10E+01
44.249944	 1.10E+01
44.349944	 1.10E+01
44.449944	 1.10E+01
44.549944	 1.10E+01
44.649944	 1.10E+01
44.749944	 1.10E+01
44.849944	 1.10E+01
44.949944	 1.10E+01
45.049944	 1.10E+01
