# ERROR | PUMAS | Information for layer 1 is missing. Reduce the number of layers or add this information.
# WARNING | GENERATOR | Too many electrons per pixel (up to 8.34e+04) detected in the 1.00-2.35 um spectral range. Reduce exposure time per frame to less than 35.965 seconds.
# ------------------------------------------------------------------------
# Radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2018, 2022)
# Synthesized on Thu Mar 27 10:41:43 2025
# Doppler velocities [km/s] (vobs,vrot+vorb,vwidth,vrfl,vstr): 29.00000,-0.00000,0.03000,0.00000,-0.00000
# Spectral unit: Wavelength [um]
# Radiance unit: Contrast [transit atmospheric thickness, km]
# Wave/freq Total Noise Stellar Object Reflected Thermal Transit
1.015298212e+00 -1.1320226e-11  6.04285e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.015674248e+00 -4.7544949e-11  6.03781e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.016050424e+00  3.3281464e-10  6.04773e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.016426739e+00 -9.0561808e-11  5.99610e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.016803193e+00  2.3546070e-10  6.02808e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.017179787e+00  2.6942138e-10  6.08113e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.017556520e+00  1.7433148e-10  6.03203e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.017933393e+00  2.1055620e-10  6.01124e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.018310405e+00 -3.2602251e-10  6.03030e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.018687557e+00  2.3998879e-10  6.02799e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.019064849e+00  9.2825853e-11  6.00123e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.019442280e+00 -2.2187643e-10  6.04432e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.019819851e+00 -1.8791575e-10  6.02068e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.020197562e+00  1.0414608e-10  6.07181e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.020575413e+00  1.3357867e-10  6.03501e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.020953404e+00  2.4678093e-10  5.98890e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.021331535e+00 -1.8112362e-10  6.03799e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.021709806e+00 -1.0414608e-10  5.98468e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.022088217e+00  2.2866857e-10  6.01826e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.022466768e+00 -4.5280904e-12  5.97317e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.022845460e+00  6.7921356e-12  5.98300e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.023224291e+00 -3.3507869e-10  5.96186e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.023603263e+00 -2.2187643e-10  5.98079e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.023982376e+00  2.8753374e-10  5.97029e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.024361628e+00  1.4263485e-10  5.94365e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.024741022e+00  1.6527530e-10  5.97072e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.025120555e+00 -3.8488768e-11  5.95217e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.025500230e+00 -1.8791575e-10  5.94284e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
1.025880044e+00  2.2187643e-10  5.94556e+02  3.09655e+05  0.00000e+00 -1.66280e+04 -1.66280e+04  0.00000e+00
